GENE	sample0_1	sample	sample10	sample50	sample500
ABCG1	0.7969566401	7.969566401	79.69566401	398.47832005	3984.7832005
ABCG2	0.0	0.0	0.0	0.0	0.0
ABCG4	0.0	0.0	0.0	0.0	0.0
ABCG5	0.0	0.0	0.0	0.0	0.0
ABCG8	0.0	0.0	0.0	0.0	0.0
ABHD10	2.86957	28.6957	286.957	1434.7849999999999	14347.849999999999
ABHD11	1.9226400000000001	19.2264	192.264	961.32	9613.2
ABHD12B	0.0	0.0	0.0	0.0	0.0
ABHD12	0.0	0.0	0.0	0.0	0.0
ABHD13	1.71618	17.1618	171.618	858.0899999999999	8580.9
ABHD14A	2.30058	23.0058	230.058	1150.29	11502.9
ABHD14B	10.88311	108.8311	1088.3110000000001	5441.555	54415.55
ABHD15	2.55865	25.5865	255.865	1279.325	12793.25
ABHD1	0.0	0.0	0.0	0.0	0.0
ABHD2	4.14074	41.4074	414.074	2070.3700000000003	20703.7
ABHD3	5.31884	53.1884	531.884	2659.42	26594.2
ABHD4	2.450982	24.50982	245.09820000000002	1225.491	12254.91
ABHD5	1.27453	12.7453	127.453	637.265	6372.650000000001
ABHD6	0.0	0.0	0.0	0.0	0.0
ABHD8	2.27627	22.7627	227.62699999999998	1138.135	11381.349999999999
ABI1	5.94172	59.4172	594.172	2970.86	29708.600000000002
ABI2	2.11068	21.1068	211.06799999999998	1055.34	10553.4
ABI3BP	0.0	0.0	0.0	0.0	0.0
ABI3	9.09568409	90.9568409	909.568409	4547.842045	45478.420450000005
ABL1	1.26674	12.6674	126.674	633.37	6333.700000000001
ABL2	1.8381165399999997	18.381165399999997	183.81165399999998	919.0582699999999	9190.582699999999
ABLIM1	8.85671	88.5671	885.6709999999999	4428.355	44283.549999999996
ABLIM2	0.0	0.0	0.0	0.0	0.0
ABLIM3	0.5990378998	5.990378998	59.90378998	299.5189499	2995.189499
ABO	0.0	0.0	0.0	0.0	0.0
AOC1	0.352754	3.52754	35.275400000000005	176.377	1763.77
ABRA	0.0	0.0	0.0	0.0	0.0
ABR	15.465691325225	154.65691325225	1546.5691325225	7732.845662612501	77328.456626125
ABT1	3.1502	31.502	315.02	1575.1	15751.0
ABTB1	14.84130147413	148.4130147413	1484.130147413	7420.650737065	74206.50737065
ABTB2	0.0	0.0	0.0	0.0	0.0
ACAA1	5.29022	52.9022	529.022	2645.11	26451.1
ACAA2	3.00643	30.0643	300.643	1503.215	15032.15
ACACA	0.640124	6.4012400000000005	64.0124	320.062	3200.6200000000003
ACACB	0.4860591712	4.860591712	48.60591712	243.0295856	2430.2958559999997
ACAD10	1.01443	10.1443	101.443	507.215	5072.15
ACAD11	1.2979	12.979000000000001	129.79000000000002	648.95	6489.500000000001
ACAD8	4.042479999999999	40.4248	404.248	2021.2399999999998	20212.399999999998
ACAD9	0.0	0.0	0.0	0.0	0.0
ACADL	0.0	0.0	0.0	0.0	0.0
ACADM	2.82687	28.2687	282.687	1413.435	14134.35
ACADSB	1.18002	11.8002	118.00200000000001	590.01	5900.1
ACADS	2.11371	21.1371	211.371	1056.855	10568.55
ACADVL	28.519453714999997	285.19453715	2851.9453715	14259.726857499998	142597.268575
ACAN	0.0	0.0	0.0	0.0	0.0
ACAP1	25.2795	252.795	2527.95	12639.75	126397.5
ACAP2	5.676080000000001	56.7608	567.6080000000001	2838.04	28380.4
ACAP3	11.59431	115.9431	1159.431	5797.155	57971.55
ACAT1	2.227	22.27	222.7	1113.5	11135.0
ACAT2	0.0	0.0	0.0	0.0	0.0
ACBD3	0.647242	6.47242	64.7242	323.621	3236.21
ACBD4	2.5728100325042	25.728100325042	257.28100325042	1286.4050162521	12864.050162521
ACBD5	2.9365840000000003	29.365840000000002	293.65840000000003	1468.2920000000001	14682.920000000002
ACBD6	1.50526	15.0526	150.526	752.63	7526.3
ACBD7	1.87492	18.7492	187.492	937.4599999999999	9374.599999999999
ASIC2	0.0	0.0	0.0	0.0	0.0
ASIC1	0.0	0.0	0.0	0.0	0.0
ASIC3	1.26362	12.6362	126.36200000000001	631.8100000000001	6318.1
ASIC4	0.0	0.0	0.0	0.0	0.0
ASIC5	0.0	0.0	0.0	0.0	0.0
ACCSL	0.0	0.0	0.0	0.0	0.0
ACCS	2.55498	25.5498	255.49800000000002	1277.49	12774.900000000001
ACD	3.545770125075	35.45770125075	354.5770125075	1772.8850625374998	17728.850625375
ACE2	0.0	0.0	0.0	0.0	0.0
ACER1	0.0	0.0	0.0	0.0	0.0
ACER2	0.0	0.0	0.0	0.0	0.0
ACER3	2.603909	26.039089999999998	260.3909	1301.9544999999998	13019.544999999998
ACE	0.0	0.0	0.0	0.0	0.0
ACHE	0.0	0.0	0.0	0.0	0.0
ACIN1	23.409889999999997	234.0989	2340.989	11704.945	117049.45
ACLY	3.1774533099999998	31.7745331	317.74533099999996	1588.726655	15887.26655
ACMSD	0.0	0.0	0.0	0.0	0.0
SDHAF3	0.0	0.0	0.0	0.0	0.0
ACO1	1.951430136766	19.51430136766	195.1430136766	975.715068383	9757.15068383
ACO2	4.06438	40.6438	406.438	2032.19	20321.899999999998
ACOT11	1.09009	10.9009	109.009	545.045	5450.45
ACOT12	0.0	0.0	0.0	0.0	0.0
ACOT13	1.11813	11.1813	111.813	559.065	5590.650000000001
ACOT1	0.0	0.0	0.0	0.0	0.0
ACOT2	0.0	0.0	0.0	0.0	0.0
ACOT4	0.0	0.0	0.0	0.0	0.0
ACOT6	0.0	0.0	0.0	0.0	0.0
ACOT7	0.0	0.0	0.0	0.0	0.0
ACOT8	2.1868600000000002	21.8686	218.686	1093.43	10934.300000000001
ACOT9	3.437532	34.37532	343.7532	1718.766	17187.66
ACOX1	0.305031124494	3.05031124494	30.5031124494	152.515562247	1525.15562247
ACOX2	0.0	0.0	0.0	0.0	0.0
ACOX3	2.15959	21.5959	215.959	1079.795	10797.95
ACOXL	0.0	0.0	0.0	0.0	0.0
ACP1	6.304180128354	63.04180128354	630.4180128354001	3152.0900641770004	31520.90064177
ACP2	1.1281569	11.281569000000001	112.81569000000002	564.0784500000001	5640.784500000001
ACP5	2.52658	25.2658	252.658	1263.29	12632.9
ACP6	1.3305099999999999	13.3051	133.051	665.255	6652.55
PXYLP1	1.5991	15.991	159.91	799.55	7995.5
ACPP	2.0606780000000002	20.60678	206.0678	1030.339	10303.39
ACPT	0.0	0.0	0.0	0.0	0.0
ACRBP	0.0	0.0	0.0	0.0	0.0
ACRC	0.0	0.0	0.0	0.0	0.0
ACRV1	0.0	0.0	0.0	0.0	0.0
ACR	0.0	0.0	0.0	0.0	0.0
ACSBG1	0.0	0.0	0.0	0.0	0.0
ACSBG2	0.0	0.0	0.0	0.0	0.0
ACSF2	1.05659	10.5659	105.65899999999999	528.295	5282.95
ACSF3	3.10306	31.0306	310.306	1551.53	15515.3
ACSL1	5.711970216199999	57.119702161999996	571.19702162	2855.9851080999997	28559.851080999997
ACSL3	1.61554	16.1554	161.554	807.77	8077.7
ACSL4	6.48512	64.8512	648.5120000000001	3242.5600000000004	32425.600000000002
ACSL5	3.5712790000000005	35.712790000000005	357.12790000000007	1785.6395000000002	17856.395000000004
ACSL6	0.935092	9.35092	93.5092	467.546	4675.46
ACSM1	0.0	0.0	0.0	0.0	0.0
ACSM2A	0.0	0.0	0.0	0.0	0.0
ACSM2B	0.0	0.0	0.0	0.0	0.0
ACSM3	0.0	0.0	0.0	0.0	0.0
ACSM4	0.0	0.0	0.0	0.0	0.0
ACSM5	0.0	0.0	0.0	0.0	0.0
ACSS1	7.6289	76.289	762.89	3814.4500000000003	38144.5
ACSS2	2.837753757	28.37753757	283.77537570000004	1418.8768785	14188.768785
ACSS3	0.0	0.0	0.0	0.0	0.0
ACTA1	0.0	0.0	0.0	0.0	0.0
ACTA2	0.0	0.0	0.0	0.0	0.0
ACTBL2	0.0	0.0	0.0	0.0	0.0
ACTB	619.02673	6190.2673	61902.673	309513.36500000005	3095133.6500000004
ACTC1	0.0	0.0	0.0	0.0	0.0
ACTG1	148.42100577267001	1484.2100577267001	14842.100577267001	74210.502886335	742105.02886335
ACTG2	0.0	0.0	0.0	0.0	0.0
ACTL6A	1.41476	14.1476	141.476	707.38	7073.8
ACTL6B	0.0	0.0	0.0	0.0	0.0
ACTL7A	0.0	0.0	0.0	0.0	0.0
ACTL7B	0.0	0.0	0.0	0.0	0.0
ACTL8	0.0	0.0	0.0	0.0	0.0
ACTL9	0.0	0.0	0.0	0.0	0.0
ACTN1	9.735232795609	97.35232795609001	973.5232795609	4867.616397804501	48676.163978045006
ACTN2	0.0	0.0	0.0	0.0	0.0
ACTN3	0.0	0.0	0.0	0.0	0.0
ACTN4	11.4499	114.499	1144.99	5724.95	57249.5
ACTR10	3.88649224	38.8649224	388.649224	1943.2461199999998	19432.461199999998
ACTR1A	3.337744	33.37744	333.7744	1668.872	16688.72
ACTR1B	6.282500000000001	62.825	628.25	3141.25	31412.5
ACTR2	28.47031	284.7031	2847.031	14235.155	142351.55000000002
ACTR3B	0.0	0.0	0.0	0.0	0.0
ACTR3C	0.0	0.0	0.0	0.0	0.0
ACTR3	15.4017	154.017	1540.17	7700.849999999999	77008.5
ACTR5	1.8958300000000001	18.9583	189.58300000000003	947.9150000000001	9479.150000000001
ACTR6	1.42754	14.2754	142.754	713.77	7137.7
ACTR8	3.30822	33.0822	330.822	1654.1100000000001	16541.1
ACTRT1	0.0	0.0	0.0	0.0	0.0
ACTRT2	0.0	0.0	0.0	0.0	0.0
ACVR1B	3.87699	38.7699	387.699	1938.495	19384.95
ACVR1C	0.0	0.0	0.0	0.0	0.0
ACVR1	0.813667	8.13667	81.36670000000001	406.8335	4068.335
ACVR2A	0.440844848255	4.40844848255	44.0844848255	220.4224241275	2204.224241275
ACVR2B	0.19704195900000002	1.97041959	19.704195900000002	98.52097950000001	985.2097950000001
ACVRL1	0.0	0.0	0.0	0.0	0.0
ACY1	0.0	0.0	0.0	0.0	0.0
ACY3	0.0	0.0	0.0	0.0	0.0
ACYP1	4.81414	48.1414	481.414	2407.0699999999997	24070.699999999997
ACYP2	0.0	0.0	0.0	0.0	0.0
ADAD1	0.0	0.0	0.0	0.0	0.0
ADAD2	0.0	0.0	0.0	0.0	0.0
ADAL	0.8447419999999999	8.44742	84.4742	422.371	4223.71
ADAM10	8.04729	80.4729	804.7289999999999	4023.645	40236.45
ADAM11	0.0	0.0	0.0	0.0	0.0
ADAM12	0.0	0.0	0.0	0.0	0.0
ADAM15	11.0324400394676	110.324400394676	1103.2440039467601	5516.220019733801	55162.200197338
ADAM17	1.9781969829600001	19.7819698296	197.819698296	989.0984914800001	9890.984914800001
ADAM18	0.0	0.0	0.0	0.0	0.0
ADAM19	2.380378	23.80378	238.0378	1190.189	11901.89
ADAM20	0.0	0.0	0.0	0.0	0.0
ADAM21P1	0.0	0.0	0.0	0.0	0.0
ADAM21	0.0	0.0	0.0	0.0	0.0
ADAM22	0.0	0.0	0.0	0.0	0.0
ADAM23	0.960678	9.60678	96.0678	480.33900000000006	4803.39
ADAM28	1.2514699999999999	12.5147	125.14699999999999	625.735	6257.349999999999
ADAM29	0.0	0.0	0.0	0.0	0.0
ADAM2	0.0	0.0	0.0	0.0	0.0
ADAM30	0.0	0.0	0.0	0.0	0.0
ADAM32	0.0	0.0	0.0	0.0	0.0
ADAM33	0.0	0.0	0.0	0.0	0.0
ADAM3A	0.0	0.0	0.0	0.0	0.0
ADAM6	2.14034	21.4034	214.03400000000002	1070.17	10701.7
ADAM7	0.0	0.0	0.0	0.0	0.0
ADAM8	19.1511	191.511	1915.11	9575.55	95755.5
ADAM9	1.175469635659	11.75469635659	117.5469635659	587.7348178295	5877.348178294999
ADAMDEC1	1.06166	10.6166	106.166	530.83	5308.3
ADAMTS10	6.144489	61.44489	614.4489	3072.2445000000002	30722.445
ADAMTS12	0.0	0.0	0.0	0.0	0.0
ADAMTS13	0.0	0.0	0.0	0.0	0.0
ADAMTS14	0.0	0.0	0.0	0.0	0.0
ADAMTS15	0.0	0.0	0.0	0.0	0.0
ADAMTS16	0.0	0.0	0.0	0.0	0.0
ADAMTS17	0.35760099999999995	3.5760099999999997	35.760099999999994	178.80049999999997	1788.0049999999999
ADAMTS18	0.0	0.0	0.0	0.0	0.0
ADAMTS19	0.0	0.0	0.0	0.0	0.0
ADAMTS1	0.49116099999999996	4.91161	49.116099999999996	245.58049999999997	2455.805
ADAMTS20	0.0	0.0	0.0	0.0	0.0
ADAMTS2	0.0	0.0	0.0	0.0	0.0
ADAMTS3	0.0	0.0	0.0	0.0	0.0
ADAMTS4	0.0	0.0	0.0	0.0	0.0
ADAMTS5	0.0	0.0	0.0	0.0	0.0
ADAMTS6	0.0	0.0	0.0	0.0	0.0
ADAMTS7	0.0	0.0	0.0	0.0	0.0
ADAMTS8	0.0	0.0	0.0	0.0	0.0
ADAMTS9	0.0	0.0	0.0	0.0	0.0
ADAMTSL1	0.0	0.0	0.0	0.0	0.0
ADAMTSL2	0.675756	6.757560000000001	67.57560000000001	337.87800000000004	3378.78
ADAMTSL3	0.0	0.0	0.0	0.0	0.0
ADAMTSL4	5.639759	56.39759	563.9759	2819.8795	28198.795000000002
ADAMTSL5	0.0	0.0	0.0	0.0	0.0
ADAP1	9.08638	90.8638	908.6379999999999	4543.19	45431.9
ADAP2	3.4038613399999997	34.038613399999996	340.38613399999997	1701.9306699999997	17019.306699999997
ADARB1	1.14683	11.4683	114.68299999999999	573.415	5734.15
ADARB2	0.0	0.0	0.0	0.0	0.0
ADAR	12.626985346	126.26985346	1262.6985346	6313.492673	63134.92673
ADAT1	3.4274	34.274	342.74	1713.7	17137.0
ADAT2	0.7244539999999999	7.24454	72.44539999999999	362.227	3622.27
ADAT3	3.09044	30.9044	309.044	1545.22	15452.199999999999
ADA	1.67511	16.7511	167.51100000000002	837.5550000000001	8375.550000000001
ADCK1	3.32889	33.2889	332.889	1664.445	16644.45
ADCK2	0.0	0.0	0.0	0.0	0.0
ADCK4	3.49903	34.9903	349.90299999999996	1749.5149999999999	17495.149999999998
ADCK5	0.0	0.0	0.0	0.0	0.0
ADCY10	0.0	0.0	0.0	0.0	0.0
ADCY1	0.0	0.0	0.0	0.0	0.0
ADCY2	0.0	0.0	0.0	0.0	0.0
ADCY3	2.19622	21.9622	219.62199999999999	1098.11	10981.1
ADCY4	1.40642	14.0642	140.642	703.21	7032.099999999999
ADCY5	0.0	0.0	0.0	0.0	0.0
ADCY6	0.0	0.0	0.0	0.0	0.0
ADCY7	26.4858	264.858	2648.58	13242.9	132429.0
ADCY8	0.0	0.0	0.0	0.0	0.0
ADCY9	1.4593500000000001	14.5935	145.935	729.6750000000001	7296.75
ADCYAP1R1	0.0	0.0	0.0	0.0	0.0
ADCYAP1	0.0	0.0	0.0	0.0	0.0
AZIN2	0.0	0.0	0.0	0.0	0.0
ADD1	8.5760896843412	85.760896843412	857.60896843412	4288.0448421706	42880.448421706
ADD2	0.0	0.0	0.0	0.0	0.0
ADD3	6.17211	61.7211	617.211	3086.055	30860.55
ADH1A	0.0	0.0	0.0	0.0	0.0
ADH1B	0.0	0.0	0.0	0.0	0.0
ADH1C	0.0	0.0	0.0	0.0	0.0
ADH4	0.0	0.0	0.0	0.0	0.0
ADH5	5.31827	53.1827	531.827	2659.1349999999998	26591.35
ADH6	0.0	0.0	0.0	0.0	0.0
ADH7	0.0	0.0	0.0	0.0	0.0
ADHFE1	0.0	0.0	0.0	0.0	0.0
ADI1	2.89242	28.9242	289.24199999999996	1446.21	14462.1
ADIG	0.0	0.0	0.0	0.0	0.0
ADIPOQ	0.0	0.0	0.0	0.0	0.0
ADIPOR1	8.35496	83.5496	835.496	4177.48	41774.799999999996
ADIPOR2	3.474537	34.74537	347.4537	1737.2685000000001	17372.685
ADK	0.0	0.0	0.0	0.0	0.0
ADM2	0.0	0.0	0.0	0.0	0.0
ADM	0.0	0.0	0.0	0.0	0.0
ADNP2	0.844333	8.44333	84.4333	422.1665	4221.665
ADNP	2.5178599999999998	25.1786	251.786	1258.93	12589.3
ADORA1	0.0	0.0	0.0	0.0	0.0
SPECC1L-ADORA2A	2.96047	29.6047	296.047	1480.2350000000001	14802.35
ADORA2B	0.0	0.0	0.0	0.0	0.0
ADORA3	0.0	0.0	0.0	0.0	0.0
ADO	1.85488	18.5488	185.488	927.44	9274.4
ADPGK	10.28102	102.8102	1028.1019999999999	5140.509999999999	51405.1
ADPRHL1	0.0	0.0	0.0	0.0	0.0
ADPRHL2	1.52814	15.2814	152.814	764.0699999999999	7640.7
ADPRH	2.6872599999999998	26.8726	268.726	1343.6299999999999	13436.3
ADRA1A	0.0	0.0	0.0	0.0	0.0
ADRA1B	0.0	0.0	0.0	0.0	0.0
ADRA1D	0.0	0.0	0.0	0.0	0.0
ADRA2A	0.0	0.0	0.0	0.0	0.0
ADRA2B	0.0	0.0	0.0	0.0	0.0
ADRA2C	0.0	0.0	0.0	0.0	0.0
ADRB1	0.0	0.0	0.0	0.0	0.0
ADRB2	1.1719000000000002	11.719000000000001	117.19000000000001	585.95	5859.500000000001
ADRB3	0.0	0.0	0.0	0.0	0.0
ADRBK1	38.223800000000004	382.23800000000006	3822.3800000000006	19111.9	191119.00000000003
ADRBK2	4.06309375614	40.630937561399996	406.309375614	2031.5468780699998	20315.468780699997
ADRM1	13.771780000000001	137.7178	1377.178	6885.89	68858.90000000001
ADSL	3.133458	31.33458	313.3458	1566.729	15667.289999999999
ADSSL1	0.0	0.0	0.0	0.0	0.0
ADSS	4.23665	42.3665	423.665	2118.3250000000003	21183.25
AEBP1	1.0647199999999999	10.6472	106.472	532.36	5323.599999999999
AEBP2	1.0046300000000001	10.0463	100.46300000000001	502.315	5023.150000000001
AEN	1.9446100000000002	19.4461	194.461	972.3050000000001	9723.050000000001
AES	45.1987666	451.987666	4519.87666	22599.3833	225993.83299999998
AFAP1L1	0.0	0.0	0.0	0.0	0.0
AFAP1L2	0.0	0.0	0.0	0.0	0.0
AFAP1	1.2001	12.001	120.00999999999999	600.05	6000.5
AFF1	4.0395765336	40.395765336	403.95765336	2019.7882667999997	20197.882668
AFF2	0.0	0.0	0.0	0.0	0.0
AFF3	0.6236308	6.236308	62.363080000000004	311.8154	3118.154
AFF4	6.46964	64.6964	646.9639999999999	3234.8199999999997	32348.199999999997
AFG3L1P	15.28392	152.8392	1528.392	7641.96	76419.6
AFG3L2	1.1210999999999998	11.210999999999999	112.10999999999999	560.55	5605.499999999999
AFMID	2.1955400000000003	21.9554	219.554	1097.77	10977.7
AFM	0.0	0.0	0.0	0.0	0.0
AFP	0.0	0.0	0.0	0.0	0.0
AFTPH	3.01972	30.1972	301.972	1509.86	15098.599999999999
C11orf96	0.0	0.0	0.0	0.0	0.0
AGAP1	0.525091	5.25091	52.509100000000004	262.5455	2625.455
AGAP2	2.78138	27.8138	278.13800000000003	1390.69	13906.9
AGAP3	3.58327	35.8327	358.327	1791.6350000000002	17916.350000000002
AGAP6	4.63738	46.3738	463.73800000000006	2318.69	23186.9
AGAP5	0.0	0.0	0.0	0.0	0.0
AGA	7.610169999999999	76.1017	761.0169999999999	3805.0849999999996	38050.85
AGBL1	0.0	0.0	0.0	0.0	0.0
AGBL2	0.0	0.0	0.0	0.0	0.0
AGBL3	0.653746	6.53746	65.3746	326.873	3268.73
AGBL4	0.583858	5.83858	58.3858	291.92900000000003	2919.29
AGBL5	0.0	0.0	0.0	0.0	0.0
AGER	29.27853	292.7853	2927.853	14639.265	146392.65
AGFG1	2.85562	28.5562	285.562	1427.81	14278.1
AGFG2	0.9484160000000001	9.484160000000001	94.84160000000001	474.208	4742.080000000001
AGGF1	3.4918	34.918	349.18	1745.8999999999999	17459.0
AGK	4.77486	47.7486	477.48600000000005	2387.4300000000003	23874.300000000003
AGL	0.635288397	6.35288397	63.5288397	317.64419849999996	3176.441985
AGMAT	0.0	0.0	0.0	0.0	0.0
AGPAT1	6.637560000000001	66.3756	663.7560000000001	3318.78	33187.8
AGPAT2	4.73151	47.3151	473.151	2365.755	23657.55
AGPAT3	2.4622003640220003	24.622003640220004	246.22003640220004	1231.1001820110002	12311.001820110003
AGPAT4	1.526	15.26	152.6	763.0	7630.0
AGPAT5	0.456494	4.56494	45.6494	228.247	2282.47
GPAT4	2.87055	28.7055	287.055	1435.275	14352.75
GPAT3	0.0	0.0	0.0	0.0	0.0
HYKK	1.18509	11.8509	118.50899999999999	592.545	5925.45
AGPS	0.9094510000000001	9.094510000000001	90.94510000000001	454.72550000000007	4547.255000000001
AGR2	0.0	0.0	0.0	0.0	0.0
AGR3	0.0	0.0	0.0	0.0	0.0
AGRN	0.616697	6.16697	61.6697	308.3485	3083.485
AGRP	0.0	0.0	0.0	0.0	0.0
AGTPBP1	5.997148687529999	59.971486875299995	599.7148687529999	2998.574343765	29985.74343765
AGTR1	0.0	0.0	0.0	0.0	0.0
AGTR2	0.0	0.0	0.0	0.0	0.0
AGTRAP	23.4752	234.752	2347.52	11737.6	117376.0
AGT	0.0	0.0	0.0	0.0	0.0
ETNPPL	0.0	0.0	0.0	0.0	0.0
PHYKPL	7.15393	71.5393	715.393	3576.9649999999997	35769.65
AGXT2	0.0	0.0	0.0	0.0	0.0
AGXT	0.0	0.0	0.0	0.0	0.0
AHCTF1	2.47525	24.7525	247.525	1237.625	12376.25
AHCYL1	3.85301	38.5301	385.301	1926.5049999999999	19265.05
AHCYL2	1.3901400000000002	13.9014	139.014	695.07	6950.700000000001
AHCY	4.29612	42.9612	429.61199999999997	2148.06	21480.6
AHDC1	0.700812	7.00812	70.0812	350.406	3504.06
AHI1	0.0	0.0	0.0	0.0	0.0
AHNAK2	0.0	0.0	0.0	0.0	0.0
AHNAK	29.3842	293.842	2938.42	14692.099999999999	146921.0
AHRR	0.0	0.0	0.0	0.0	0.0
AHR	1.41293	14.1293	141.293	706.465	7064.650000000001
AHSA1	4.4440100000000005	44.4401	444.401	2222.005	22220.05
AHSA2	20.73604	207.3604	2073.604	10368.02	103680.2
AHSG	0.0	0.0	0.0	0.0	0.0
AHSP	0.0	0.0	0.0	0.0	0.0
AICDA	0.0	0.0	0.0	0.0	0.0
AIDA	5.1880299999999995	51.8803	518.803	2594.015	25940.149999999998
AIF1L	0.0	0.0	0.0	0.0	0.0
AIF1	62.14488	621.4488	6214.488	31072.44	310724.4
AIFM1	2.22682	22.2682	222.68200000000002	1113.41	11134.1
AIFM2	0.0	0.0	0.0	0.0	0.0
AIFM3	4.54983713	45.4983713	454.983713	2274.918565	22749.18565
AIG1	2.16757	21.6757	216.757	1083.7849999999999	10837.85
AIM1L	0.0	0.0	0.0	0.0	0.0
AIM1	1.79237	17.9237	179.237	896.1850000000001	8961.85
AIM2	0.0	0.0	0.0	0.0	0.0
AIMP1	1.8623100000000001	18.6231	186.231	931.1550000000001	9311.550000000001
